expediente,categoria,numero,fragmento
SUP-AG-193/2024,constancia_mayoria,1,"se en las constancias de mayoría y validez y de asignación proporcional, en los términos del inciso anterior; … 4. En los términos de los supuestos previstos por esta ley para la conformación de los Grupos Parlamentarios, los partidos políticos cuyos candidatos hayan obtenido su constancia de mayoría y validez o que hubieren recibido constancia de asignación proporcional, comunicarán a la Cámara, por conducto de su Secretario General, a más tardar el 28 de agosto del año de la elección, la integración de su Grupo Parlamentario, con los siguientes elementos: a) La denominació"
SUP-AG-193/2024,rp,1,". Marco jurídico aplicable 5.2. Análisis del caso 6. PUNTO RESOLUTIVO GLOSARIO Acuerdo INE/CG2129/2024 : A cuerdo del Consejo General del Instituto Nacional Electoral por el que se efectúa el cómputo total, se declara la validez de la elección de diputaciones por el principio de representación proporcional y se asignan a los partidos políticos nacionales Acción Nacional , Revolucionario Institucional , del T rabajo, V erde E cologista de M éxico, Movimiento Ciudadano y morena, las diputaciones que les corresponden para el periodo 2024-2027 . Constitución general: Constitución Polí"
SUP-AG-193/2024,rp,2,"versia tiene su origen en el escrito que el promovente presentó ante esta Sala Superior , en el que realiza diversas manifestaciones relacionadas con el proceso electoral federal 2023-2024, específicamente, cuestionando la asignación de diputaciones federales por el principio de representación proporcional. En esencia, considera que dicha asignación es irregular y solicita que este órgano jurisdiccional intervenga para “ restablecer la paz y el orden público ”, así como para que revise y, en su caso, realice una nueva asignación de diputaciones . (2) No obstante, antes de estudiar"
SUP-AG-193/2024,rp,3,"la cual se eligieron, de entre otros cargos, las diputaciones federales . (5) Acuerdo INE/CG2129/2024. El veintitrés de agosto, el Consejo General del INE aprobó el acuerdo por el que efectuó el cómputo total, declaró la validez de la elección de diputaciones por el principio de representación proporcional y asignó las diputaciones correspondientes. (6) Sentencias de Sala Superior . En contra del a cuerdo INE/CG2129/2024 , los partidos políticos y candidatura s inconformes, así como diversas personas ciudadanas, presentaron múltiples demandas , las cuales fueron registradas bajo l"
SUP-AG-193/2024,rp,4,"ación, así como de interés jurídico o legítimo. (8) Escrito. El cinco de septiembre , se recibió en la Oficialía de Partes de la Sala Superior el escrito del promovente , en el que realiza diversas manifestaciones dirigidas a cuestionar la asignación de diputaciones federales de representación proporcional . 3. TRÁMITE (9) Turno . En su oportunidad , la magistrada presidenta ordenó integrar el expediente, registrarlo con la clave SUP-AG- 193 /2024 y turnarlo a la ponencia del magistrado Reyes Rodríguez Mondragón para su trámite y sustanciación. (10) Radicación. E n su momento, el"
SUP-AG-193/2024,rp,5,"mento, el magistrado instructor radicó el asu nto general en su ponencia . 4. COMPETENCIA (11) Esta Sala Superior es competente para conocer y resolver el presente medio de impugnación, porque el promovente controvierte , esencialmente, la asignación de diputaciones federales de representación proporcional . [2] 5. IMPROCEDENCIA (12) Con independencia de que se actualice alguna otra causa de improcedencia, e sta Sala Superior considera que la impugnación planteada es improcedente y, por tanto, debe desecharse de plano el escrito presentado , debido a que el acto que el promovente"
SUP-RAP-103/2024,rp,1,"l CGINE celebró se sión extraordinaria por la que declaró formalmente el inicio del PEF . (2) Acuerdo INE/CG645/2023. En la misma fecha, el CGINE aprobó el a cuerdo por el que se determina el mecanismo para la aplicación de la fórmula de curúles y los escaños por el principio de representación proporcional [4] en el C ongreso de la U nión, que corresponden a los partidos políticos nacionales con base en los resultados que obtengan en la jornada electoral a celebrarse el dos de junio. (3) Criterios para el registro de candidaturas (INE/CG527/2023) . El ocho de septiembre , el CGINE"
SUP-RAP-342/2024,fiscalizacion,1,"idos Mexicanos, senadurías y diputaciones federales, correspondientes al proceso electoral federal ordinario 2023-2024. RP: Principio de representación proporcional. Sala Superior: Sala Superior del Tribunal Electoral del Poder Judicial de la Federación. SIF: Sistema Integral de Fiscalización. Tribunal Electoral: Tribunal Electoral del Poder Judicial de la Federación. UTF: Unidad Técnica de Fiscalización del INE. I. ANTECEDENTES 1. Resolución impugnad a . El veintidós de julio [4] , el CG del INE aprobó la resolución impugnada, en la que determinó sancionar, entre ot"
SUP-RAP-342/2024,fiscalizacion,2,"2024. RP: Principio de representación proporcional. Sala Superior: Sala Superior del Tribunal Electoral del Poder Judicial de la Federación. SIF: Sistema Integral de Fiscalización. Tribunal Electoral: Tribunal Electoral del Poder Judicial de la Federación. UTF: Unidad Técnica de Fiscalización del INE. I. ANTECEDENTES 1. Resolución impugnad a . El veintidós de julio [4] , el CG del INE aprobó la resolución impugnada, en la que determinó sancionar, entre otros, al recurrente por diversas irregularidades en materia de fiscalización. 2. Recurso de apelación. Inconforme,"
SUP-RAP-342/2024,fiscalizacion,3,"la Federación. UTF: Unidad Técnica de Fiscalización del INE. I. ANTECEDENTES 1. Resolución impugnad a . El veintidós de julio [4] , el CG del INE aprobó la resolución impugnada, en la que determinó sancionar, entre otros, al recurrente por diversas irregularidades en materia de fiscalización. 2. Recurso de apelación. Inconforme, el veintiséis de julio y el dos de agosto, el recurrente presentó demandas de apelación para controvertir la resolución señalada y el engrose respectivo. 3. Turno. Recibidas las constancias, la presidencia de esta Sala Superior ordenó integr"
